course_name,code,credits,major,semester_in_2_year_track,semester_in_3_year_track,prerequisite
English Composition,ENG 101,3,CNT,1,1,
Precalculus,MAT 206,4,GIS,1,1,
Accounting Principles I,ACC 122,3,CNT,1,2,
Introduction to Business,BUS 104,3,CNT,1,3,
Introduction to Literature,ENG 201,3,CNT,2,2,ENG 101
Introduction to Operating Systems,CIS 165,3,CNT,2,2,
Computer Programming I,CSC 110,4,CNT,2,2,CSC 101
Fundamentals of Public Speaking,SPE 100,3,CNT,2,5,
Program Elective 1,XXX xxx,3,CNT,2,3,
Program Elective 2,XXX xxx,3,CNT,3,4,
General Astronomy,AST 110,4,CNT,3,4,
Elective 1,XXX xxx,3,CNT,3,5,
Elective 2,XXX xxx,3,CNT,4,5,
Principles in IT & Computation,CSC 101,3,CNT,1,1,
Computer Software,CIS 255,3,CNT,3,3,
Telecommunication Network I,CIS 345,3,CNT,3,3,
Telecommunication Network II,CIS 445,3,CNT,4,4,CIS 345
Network Security,CIS 455,3,CNT,4,4,CIS 345
Unix,CIS 440,3,CNT,4,5,
